id,driver_id,load_id,bid_id,driver_rating,completion_rate,acceptance_rate,total_jobs,load_weight,distance_km,pickup_lat,pickup_lng,drop_lat,drop_lng,urgency,driver_to_pickup_distance,past_route_success,bid_price,price_deviation,response_time,load_type,driver_score,price_per_km,outcome,label,created_at
0351f7ed-3eaa-46a8-aafc-1f7778fa3846,218bee8a-2616-4e65-8f53-66622f058a51,bec786fc-c4f4-4c28-83c6-5330ea3f84f2,5e657c14-812a-4df3-99c3-938a52b304ec,3.88,0.46,0.38,72,7.89,430.34,45.032342,-75.521804,46.911564,-70.652217,1,1.46,0.35,1156.21,0.05,227.18,flatbed,0.1743,2.6805,rejected,0,2025-06-05T09:04:56
189216f3-94b1-4d57-88a4-f0ac0e071f29,4cb23c0a-094a-4203-b2f4-5f98dd05afe7,43f10cfa-22f8-40aa-89cf-016fe04223fa,3b7d96cf-f862-49f3-a683-bcaa91c926cb,3.66,0.45,0.45,78,5.32,156.0,44.922838,-76.811896,45.813298,-75.268644,3,1.0,0.4,484.24,0.03,259.53,flatbed,0.2027,3.0843,completed,1,2025-07-30T09:04:56
3cbf1580-bac9-4aea-ad3a-68824e3c1b7d,03985783-1b65-4184-8f24-a5a3ea4f8dd4,6e331928-3ac1-4d57-9e54-afa714f5b099,05bbd7a3-1be6-4fcb-8e31-4b586bd784a4,4.26,0.51,0.56,78,20.62,3652.92,44.131317,-63.971114,53.384876,-112.912383,2,81.25,0.62,9052.34,0.12,138.32,dry_van,0.283,2.4774,accepted,1,2026-02-05T09:04:56
fc30f7e7-ec92-4202-a8da-0bc4d11cfa44,f90094c5-de8f-40af-82dc-f6bb189d75ed,c6ff00d9-8553-4d48-b4ab-54711b5fbd52,f3b51417-6379-48a9-9e80-17cda1d8c75e,4.09,0.47,0.47,62,23.42,103.66,47.155341,-70.956163,46.224399,-71.028235,2,1.0,0.46,315.84,-0.22,239.69,reefer,0.2192,3.0178,rejected,0,2025-08-08T09:04:56
6b17f953-7711-4ee7-8b53-5a9b7a915156,ed970389-94c8-46e9-ac06-50bbdfbba1ab,9e76c64c-9990-4906-afbe-66dc1693dfbf,05068056-4723-41cd-8faf-53169d39887d,4.7,0.61,0.64,110,13.56,736.46,50.070607,-96.501397,52.223191,-106.497018,3,14.89,0.45,1731.03,0.04,162.62,dry_van,0.3893,2.3473,completed,1,2025-10-30T09:04:56
11de20ed-2a71-4710-b882-aafadde31003,808b09b3-d152-490d-b43d-c11a0ee504ec,84a3250b-c2c7-4b41-8b71-562e2a1d90ca,a83aae08-063b-4a7c-8941-c657d4b5b9fc,3.68,0.49,0.41,95,30.0,694.04,46.712702,-71.216516,43.643618,-78.93337,1,37.4,0.42,1510.51,-0.22,173.36,flatbed,0.2018,2.1733,rejected,0,2025-12-31T09:04:56
819b3374-6317-491d-b8cc-6bf752887a09,10f0e98d-18cb-4e4b-b99b-a40057e5bf78,074261ca-18cb-4a67-8f98-8dcab19ebdb4,0458cee1-667f-4d74-8877-1f8ed775aec9,4.49,0.56,0.55,143,15.45,1559.04,49.904935,-97.796798,43.929585,-79.145881,1,124.3,0.27,4117.54,0.14,99.57,dry_van,0.3041,2.6394,completed,1,2026-02-07T09:04:56
6acf5181-55e9-46a4-9027-febdcc4c0400,88488480-d648-452b-a2e0-cf766cdcaf65,b289c1cc-859f-43ca-8327-b3d67c830c51,521db426-b495-44dc-9f04-82c87c61fe99,3.57,0.48,0.36,115,21.0,2747.25,43.912634,-79.240264,53.819738,-114.174123,3,84.37,0.38,9050.64,0.03,76.44,flatbed,0.1701,3.2932,rejected,0,2025-10-21T09:04:56
9ad77754-8b75-4721-ac2a-d059caad044a,4d90bf86-282e-4ccc-82a2-ec741b2526e7,a17da4e2-ffd7-4c5a-a985-03ebde1fb5a0,fed58561-44b7-4dd7-a616-b4b946e83549,4.39,0.54,0.63,624,12.74,2655.36,50.579174,-114.085808,44.123309,-79.787201,1,146.95,0.59,7771.04,0.13,141.09,flatbed,0.3431,2.9254,completed,1,2026-03-22T09:04:56
1b23b7a1-252c-4b1c-9b73-21ce77ccd28c,f0575696-84d9-464a-be68-1a699c6321cb,8d36a3eb-d756-4c6b-8a80-b9f6b958409a,2258ea1e-dbc1-4501-9f55-288361f68038,4.77,0.58,0.58,56,12.37,3764.85,52.996316,-113.563983,44.768357,-62.409813,1,138.49,0.77,8721.61,-0.19,44.94,reefer,0.3403,2.316,accepted,1,2025-12-25T09:04:56
